2021-09-06 12:30 TEST FAILED
2021-09-06 12:30 TEST FAILED
2021-09-06 12:30 TEST FAILED
2021-09-06 12:30 TEST FAILED
2021-09-06 12:30 TEST FAILED
2021-09-06 12:30 TEST FAILED
2021-09-06 12:30 TEST FAILED
2021-09-06 12:30  11.8   9.9   5.0
2021-09-06 12:30   7.8   9.8   5.1
2021-09-06 12:31   6.7   9.8   5.1
2021-09-06 12:31   8.6  10.1   5.3
2021-09-06 12:32   8.3   9.1   5.0
2021-09-06 12:32   4.6   9.9   5.1
2021-09-06 12:32   5.7   9.0   5.2
2021-09-06 12:33   6.8   9.4   5.1
2021-09-06 12:33  10.3   9.4   5.1
2021-09-06 12:33  11.8   9.8   5.1
2021-09-06 12:34   6.5   9.8   5.0
2021-09-06 12:34   8.4   9.6   5.1
2021-09-06 12:35   7.8   9.6   5.1
2021-09-06 12:35   4.8   9.3   4.8
2021-09-06 12:35   8.6   9.8   5.1
2021-09-06 12:36   7.4   9.3   5.1
2021-09-06 12:36   7.1   9.0   5.2
2021-09-06 12:36   7.4   9.7   5.2
2021-09-06 12:37   8.4   9.7   4.7
2021-09-06 12:37   7.2   9.6   5.1
2021-09-06 12:38  10.8   9.6   5.2
2021-09-06 12:38   7.1   5.0   5.1
2021-09-06 12:38  10.9   9.3   5.1
2021-09-06 12:39  13.0   8.6   5.0
2021-09-06 12:39  11.3   9.8   5.2
2021-09-06 12:40   7.5   9.9   5.0
2021-09-06 12:40   8.6   9.8   5.2
2021-09-06 12:40   7.5   9.4   5.1
2021-09-06 12:41   4.9   9.7   5.0
2021-09-06 12:41   6.9   9.9   5.2
2021-09-06 12:41   5.2   9.9   4.9
2021-09-06 12:42   5.9   9.9   5.1
2021-09-06 12:42   6.7   9.9   5.2
2021-09-06 12:43  16.3   9.3   5.0
2021-09-06 12:43  10.2   8.2   4.9
2021-09-06 12:43   7.2   9.6   5.2
2021-09-06 12:44   5.1   9.6   5.2
2021-09-06 12:44   7.5   9.3   5.1
2021-09-06 12:45   5.9   9.7   4.9
2021-09-06 12:45   8.3   9.6   5.2
2021-09-06 12:45   8.6   9.9   5.1
2021-09-06 12:46   9.4   9.1   5.1
2021-09-06 12:46  13.2   8.9   5.1
2021-09-06 12:46   9.2   9.3   5.1
2021-09-06 12:47   6.9   9.9   5.2
2021-09-06 12:47   6.8   9.4   4.7
2021-09-06 12:47   9.4   9.9   5.2
2021-09-06 12:48   6.6  10.0   4.9
2021-09-06 12:48   7.3   9.7   5.0
2021-09-06 12:49   7.4   9.9   5.2
2021-09-06 12:49  12.1   9.3   5.1
2021-09-06 12:49   8.5   9.8   4.4
2021-09-06 12:50   6.9   9.9   5.2
2021-09-06 12:50   9.4   9.5   5.0
2021-09-06 12:51   9.2   9.7   5.1
2021-09-06 12:51   9.9   9.8   5.2
2021-09-06 12:51   7.7   9.6   5.2
2021-09-06 12:52   8.0   9.6   5.1
2021-09-06 12:52   4.5   9.7   5.2
2021-09-06 12:52   7.4   9.8   5.1
2021-09-06 12:53   9.8   9.9   5.1
